2023-06-12 01:58:10,570 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-12 01:58:10,571 INFO       started client socket with parameters: addres server127.0.0.1, port 7777, working mode listen
2023-06-12 01:58:10,573 INFO       server connection established
2023-06-12 01:58:10,574 DEBUG      generated message 'presence' for user Guest
2023-06-12 01:58:10,574 DEBUG      A function create_presence was called with parameters (), {} from the function main
2023-06-12 01:58:10,576 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 42574), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1686524290.5741432, 'user': {'account_name': 'Guest'}}), {} from the function main
2023-06-12 02:03:59,746 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-12 02:03:59,749 INFO       started client socket with parameters: addres server127.0.0.1, port 7777, working mode listen
2023-06-12 02:03:59,753 INFO       server connection established
2023-06-12 02:03:59,753 DEBUG      generated message 'presence' for user Guest
2023-06-12 02:03:59,754 DEBUG      A function create_presence was called with parameters (), {} from the function main
2023-06-12 02:03:59,756 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49060), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1686524639.7534769, 'user': {'account_name': 'Guest'}}), {} from the function main
2023-06-12 02:14:14,576 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-12 02:14:14,576 INFO       started client socket with parameters: addres server127.0.0.1, port 7777, working mode listen
2023-06-12 02:14:14,578 INFO       server connection established
2023-06-12 02:14:14,579 DEBUG      generated message 'presence' for user Guest
2023-06-12 02:14:14,579 DEBUG      A function create_presence was called with parameters (), {} from the function main
2023-06-12 02:14:14,580 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 45032), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1686525254.5790937, 'user': {'account_name': 'Guest'}}), {} from the function main
2023-06-12 02:22:35,585 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-12 02:22:35,586 INFO       started client socket with parameters: addres server127.0.0.1, port 7777, working mode listen
2023-06-12 02:22:35,588 INFO       server connection established
2023-06-12 02:22:35,588 DEBUG      generated message 'presence' for user Guest
2023-06-12 02:22:35,589 DEBUG      A function create_presence was called with parameters (), {} from the function main
