2023-06-21 19:19:50,585 INFO       trying to start socket from on the server
2023-06-21 19:19:50,586 CRITICAL   starting server on an invalid 222 port
2023-06-21 19:19:56,739 INFO       trying to start socket from on the server
2023-06-21 19:19:56,739 INFO       server socket waiting for connection on 7777 from any ip address
2023-06-21 19:20:05,900 INFO       connection server with ('127.0.0.1', 49322)
2023-06-21 19:20:06,907 DEBUG      A function get_msg was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 49322)>,), {} from the function main
2023-06-21 19:20:06,907 DEBUG      parsig message from client {'action': 'presence', 'time': 1687364405.9007764, 'user': {'account_name': 'Guest'}}
2023-06-21 19:20:06,908 DEBUG      A function send_msg was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 49322)>, {'response': 200}), {} from the function handler_client_msg
2023-06-21 19:20:06,908 DEBUG      A function handler_client_msg was called with parameters ({'action': 'presence', 'time': 1687364405.9007764, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 49322)>), {} from the function main
2023-06-21 19:21:36,889 INFO       connection server with ('127.0.0.1', 47572)
2023-06-21 19:21:36,890 INFO       connection server with ('127.0.0.1', 47584)
2023-06-21 19:21:37,891 INFO       client ('127.0.0.1', 47572) disconnected from the server
2023-06-21 19:21:43,023 INFO       connection server with ('127.0.0.1', 60158)
2023-06-21 19:21:43,024 INFO       client ('127.0.0.1', 60158) disconnected from the server
2023-06-21 19:21:43,026 INFO       connection server with ('127.0.0.1', 60166)
2023-06-21 19:21:44,069 INFO       connection server with ('127.0.0.1', 60182)
2023-06-21 19:21:44,069 INFO       client ('127.0.0.1', 60166) disconnected from the server
2023-06-21 19:22:04,089 INFO       client ('127.0.0.1', 49322) disconnected from the server
2023-06-21 20:09:18,614 INFO       trying to start socket from on the server
2023-06-21 20:09:18,614 INFO       server socket waiting for connection on 7777 from any ip address
2023-06-21 20:09:51,561 INFO       trying to start socket from on the server
2023-06-21 20:09:51,561 INFO       server socket waiting for connection on 7777 from any ip address
2023-06-21 20:09:58,075 INFO       trying to start socket from on the server
2023-06-21 20:09:58,075 INFO       server socket waiting for connection on 7777 from any ip address
2023-06-21 20:10:00,891 INFO       trying to start socket from on the server
2023-06-21 20:10:00,892 INFO       server socket waiting for connection on 8888 from any ip address
2023-06-21 20:13:26,645 INFO       trying to start socket from on the server
2023-06-21 20:13:26,645 INFO       server socket waiting for connection on 7777 from any ip address
2023-06-21 20:13:37,798 INFO       connection server with ('127.0.0.1', 51292)
2023-06-21 20:13:38,806 DEBUG      A function get_msg was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>,), {} from the function main
2023-06-21 20:13:38,806 DEBUG      parsig message from client {'action': 'presence', 'time': 1687367617.798575, 'user': {'account_name': '777'}}
2023-06-21 20:13:38,807 DEBUG      A function send_msg was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>, {'response': 200}), {} from the function handler_client_msg
2023-06-21 20:13:38,807 DEBUG      A function handler_client_msg was called with parameters ({'action': 'presence', 'time': 1687367617.798575, 'user': {'account_name': '777'}}, [], <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>, [<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>], {'777': <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>}), {} from the function main
2023-06-21 20:13:41,849 INFO       connection server with ('127.0.0.1', 53820)
2023-06-21 20:13:42,851 DEBUG      A function get_msg was called with parameters (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>,), {} from the function main
2023-06-21 20:13:42,851 DEBUG      parsig message from client {'action': 'presence', 'time': 1687367621.849389, 'user': {'account_name': '555'}}
2023-06-21 20:13:42,852 DEBUG      A function send_msg was called with parameters (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>, {'response': 200}), {} from the function handler_client_msg
2023-06-21 20:13:42,852 DEBUG      A function handler_client_msg was called with parameters ({'action': 'presence', 'time': 1687367621.849389, 'user': {'account_name': '555'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>, [<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>, <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>], {'777': <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>, '555': <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>}), {} from the function main
2023-06-21 20:14:01,875 DEBUG      A function get_msg was called with parameters (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>,), {} from the function main
2023-06-21 20:14:01,875 DEBUG      parsig message from client {'action': 'message', 'from': '555', 'to': '777', 'time': 1687367641.829056, 'msg_text': 'test message to 777'}
2023-06-21 20:14:01,875 DEBUG      A function handler_client_msg was called with parameters ({'action': 'message', 'from': '555', 'to': '777', 'time': 1687367641.829056, 'msg_text': 'test message to 777'}, [{'action': 'message', 'from': '555', 'to': '777', 'time': 1687367641.829056, 'msg_text': 'test message to 777'}], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>, [<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>, <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>], {'777': <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>, '555': <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>}), {} from the function main
2023-06-21 20:14:01,876 DEBUG      A function send_msg was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>, {'action': 'message', 'from': '555', 'to': '777', 'time': 1687367641.829056, 'msg_text': 'test message to 777'}), {} from the function proc_msg_to_client
2023-06-21 20:14:01,876 INFO       message sent to user 777 from user 555
2023-06-21 20:14:37,914 DEBUG      A function get_msg was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>,), {} from the function main
2023-06-21 20:14:37,915 DEBUG      parsig message from client {'action': 'message', 'from': '777', 'to': '555', 'time': 1687367677.511852, 'msg_text': 'rtwtwetgeg'}
2023-06-21 20:14:37,915 DEBUG      A function handler_client_msg was called with parameters ({'action': 'message', 'from': '777', 'to': '555', 'time': 1687367677.511852, 'msg_text': 'rtwtwetgeg'}, [{'action': 'message', 'from': '777', 'to': '555', 'time': 1687367677.511852, 'msg_text': 'rtwtwetgeg'}], <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>, [<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>, <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>], {'777': <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51292)>, '555': <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53820)>}), {} from the function main
